actor_id,movie_id,role
87445,69,Black guide
103607,69,Boer singer
126335,69,Capt. Simon Hunt
152230,69,"Lt. George Ramsdale Witton, B"
182767,69,B/M Thomas
201771,69,Cpl. Sharp (sentry)
204116,69,Capt. Nicholson
19059,71,Johnny Brett
22585,71,Soda Jerk
43152,71,Silhouettist
45332,71,Panhandler
58575,71,Piano Player at Audition
58600,71,Barker
64945,71,Waiter
80936,71,Mr. Jones the Bridegroom
92248,71,Sailor
100387,71,Ballroom Manager
105856,71,Barker
111001,71,"O'Grady, Matthews' Assistant"
115055,71,Policeman
116650,71,Italian Waiter
152868,71,Bouncer
214990,71,Specialty Dancer
217695,71,Actor
218448,71,Bert C. Matthews
207546,72,Himself
4593,73,Detective #1
108164,73,Dave Peterson
119207,73,Mark Rumsfield
130151,73,Art Weingartner
147235,73,Ricky Butler
163324,73,Cop
163610,73,Hans Klopek
172381,73,Dr. Werner Klopek
179370,73,Walter Seznick
195428,73,Ray Peterson
201658,73,Ricky's Friend
215595,73,Detective #2
275,77,Himself
121758,77,Himself
195428,77,Himself
6750,94,Rat
12566,94,Rico's Guard
17535,94,Rico's Guard
17996,94,Phone Talker
18144,94,Japanese Tourist
31478,94,Policeboat Sergeant
52685,94,Bob Tanner
74509,94,Garcia
79468,94,Helicopter Pilot
95409,94,Dorrigo Brother
95518,94,Dorrigo Brother
100399,94,Park Boy
100906,94,Subway Hitman
123193,94,Charlie
132868,94,Leroy
148600,94,Miguel
154445,94,Mohawk Punk
189962,94,Jose
211223,94,Michael J. 'Crocodile' Dundee
212796,94,Erskine
228260,94,Young Cop
229555,94,Ledge Suicider
131443,95,
15361,100,
73013,100,
146452,102,Himself
29780,105,
89161,105,
95173,105,Fighting Dan McCool
193463,105,
198793,106,Foxy Grandpa
93753,107,
232052,107,
16808,108,Jeffrey 'Jeff' McCord
36631,108,Man
46692,108,Fingerprint Expert
46909,108,Cop
49120,108,Gunman at Train Station
57216,108,The Chief (1949 reissue scene
63400,108,Last Police Broadcaster
68187,108,James 'Brick' Davis
78445,108,Headwaiter
95657,108,G-Man with Farrell
106758,108,Machine Gunner
114341,108,"J.E. Glattner, the Florist"
127960,108,"Joe, the Second Fingerprint C"
131601,108,Police Broadcaster
138060,108,Intern at Hospital
152605,108,Cop with Farrell
152868,108,Agent with Jean
179947,108,G-Man Guarding Leggett
181376,108,Bank Clerk
192776,108,Congressman
193159,108,Police Driver
197690,108,"'Mac' McKay, aka Joseph Lynch"
200258,108,Gangsters' Messenger with War
208265,108,Hood
213856,108,Gerard
216607,108,Venke
221677,108,"Tony, a Florist"
224053,108,Doctor at Store
114868,112,Himself
213815,112,Himself
32545,115,"Himself (chief curator, Le Lo"
53587,115,Presenter
4882,117,Himself
159358,117,Himself
215665,117,Himself
4882,118,Himself
12488,118,Himself
74195,118,Himself
77488,118,Himself
103108,118,Himself
7740,120,Himself
8612,120,Himself
23669,120,Himself
23778,120,Himself
30945,120,Himself
47536,120,Himself
87851,120,Himself
137736,120,Himself
140237,120,Himself
142888,120,Himself
165708,120,Himself
186223,120,Himself
198776,120,Himself
218876,120,Himself
222554,120,Himself
229303,120,Himself
232874,120,Himself
57895,127,Parky
63722,127,Uncle Johnny
72954,127,Jim Golden
98422,127,Henry
124834,127,
201847,127,Bill Bones
85868,128,
147464,128,Mr. Wee Gee
187301,128,Voice of Wee Gee
1075,130,Hamou
9880,130,Bargali
147567,130,Tuset
220563,130,Baz
220653,130,KenÃ»ni
224186,130,Najem
224187,130,Bohra
62339,133,Narrator
36753,134,Gordon Turnbull
154850,134,2nd Sierra Driver
161745,134,Alan Trent
213638,134,Geoff
224879,134,Larry Driver
230983,134,Clive
143166,136,Java Fiend
121795,137,Le chien
20197,139,Niederle
133962,139,Director
10914,141,
18650,141,
85338,141,
85343,141,
173222,141,Production Manager (Guest App
127649,151,Le fils de Mathieu
129803,151,Neighbour
159907,151,Mathieu
13077,152,Dan
35670,152,
47448,152,Jake
90786,152,
99314,152,
186251,152,
202422,152,Nick
214087,152,
231845,152,
133224,153,Mad Boy (Billy)
78444,156,Cop
229062,156,Cop
58577,158,Master Harold 'Hally'
123165,159,Song Siyuan
1138,160,Patient
20118,160,Manager
20440,160,Patient
26942,160,Bidegroom
27727,160,
40525,160,Banker
45333,160,Raymond Pelleveau (Young Fath
49954,160,Patient
51910,160,Journalist
51976,160,"Craven, the Depositer"
67181,160,2nd Film Director
68538,160,Non-commissioned Officer
73730,160,Raymond Pelleveau (Old Father
80005,160,Driver
89817,160,Producer
108415,160,Policeman
118528,160,Houseman
118951,160,Doctor Marc Antoine Worms
132102,160,Lorry Driver
161117,160,FranÃ§ois
164931,160,Policeman
165089,160,Brother-in-Law
179997,160,Policeman
182323,160,
184480,161,Himself
18517,164,
151107,164,
203594,165,Himself (interview)
210860,165,Himself (interview)
103656,166,
158060,166,
161581,167,Namioka
209405,167,Kozo Kinugawa
81149,168,Liang Nianhao
5155,169,
36760,169,
58849,169,
71742,169,
72530,169,
92723,169,
93367,169,
137494,169,
141962,169,
149515,169,
206146,169,
193102,170,
75974,171,Himself
190221,171,Himself
210860,171,Himself
223128,171,Himself
231735,171,Himself
49983,175,Student 2
49985,175,Student 1
30736,176,Himself
82259,176,Himself
146123,176,Himself
204980,176,Dancer
30736,177,Himself
82259,177,Himself
146123,177,Himself
30736,178,Himself
82259,178,Himself
146123,178,Himself
30736,179,Himself
82259,179,Himself
146123,179,Himself
30736,180,Himself
82259,180,Himself
146123,180,Himself
30736,181,Himself
82259,181,Himself
146123,181,Himself
30736,182,Himself
82259,182,Himself
146123,182,Himself
30736,183,Himself
82259,183,Himself
146123,183,Himself
4579,184,Maliq
31771,184,WeiÃŸhaupt
48036,184,Dobisch
55165,184,Gerd Steinbach
132495,184,Otranto
162722,184,Gosbert Klee
15535,185,"Monaro Jack, stockman"
29261,185,"Snowy, boundary rider"
204938,185,Colonel Delmont
34259,186,Butch (Rusty in Credits)
89179,186,Stash
117400,186,Skid
179185,186,Muggs McGinnis
193167,186,Glimpy
233920,186,Danny Lyons
6870,187,"Pete Davis, henchman"
39565,187,I. M. Michaels
62710,187,
64807,187,Man in coon skin hat
156917,187,Ned Thompson
201253,187,Sergeant Tim
218848,187,"Harding, a Mountie"
232457,187,Haley
71746,188,Sam Black
99899,188,Express Agent
133107,188,"Tom, Nina's Father"
158666,188,Man in the Brush
191377,188,Henchman
201363,188,Matt Downing
35236,190,'Wildcat' Riley
131573,190,Percival Givens
162173,190,Lem Johnson
207224,190,James Garfield
223758,191,
39023,195,Dawson Cates
8635,196,Soldier
23879,196,Prince Don JoÃ£o
67859,196,Doctor
72778,196,Soldier
87216,196,"Ens. Cabrita, Viriato, Don Jo"
111377,196,Baron of Alvito
111911,196,"Preacher at funeral, Suicidal"
113648,196,Narrator
133970,196,"Soldier Manuel, Lusitanian wa"
157359,196,Don Afonso
163439,196,Soldier
177458,196,"Soldier Pedro, AlcÃ¡cer warrio"
188154,196,"Soldier Salvador, Lusitanian "
190711,196,Soldier
334,198,
17321,198,
25781,198,
87479,198,
93348,198,
94599,198,
100929,198,Rafele
104682,198,
121256,198,
144377,198,
144942,198,
154323,198,
157838,198,
164554,198,
172014,198,Francesco II di Borbone
187403,198,
216675,198,
221809,198,
55987,199,Altarez/Frank
85547,200,Kuan Yen-Ping
122758,202,Husband
185151,202,Lover
3729,204,
77404,204,
111335,204,
166287,204,
375,209,Karl Meyer
14706,209,Jock MacIntyre
15667,209,Second Prisoner
17981,209,Hoffman
58971,209,Bit Part
65955,209,Weber
160378,209,Spencer
168927,209,Sidimir Koslowski
