id,genre
302,Thriller
303,Short
305,Drama
305,Short
306,Short
307,Animation
307,Comedy
307,Family
307,Short
309,Short
310,Drama
311,Comedy
312,Documentary
313,Drama
313,Romance
314,Documentary
314,Short
315,Short
316,Short
317,Drama
318,Drama
319,Short
320,Drama
320,Fantasy
320,Short
321,Short
322,Comedy
322,Sci-Fi
323,Documentary
323,Short
324,Animation
324,Short
327,Short
328,Comedy
328,Family
328,Fantasy
328,Sci-Fi
329,Drama
330,Animation
330,Comedy
330,Short
331,Drama
332,Comedy
334,Sci-Fi
335,Drama
336,Drama
337,Horror
337,Thriller
338,Documentary
338,Short
339,Comedy
339,Musical
340,Short
341,Comedy
341,Family
342,Comedy
344,Action
344,Comedy
344,Drama
344,Romance
345,Drama
345,Romance
346,Documentary
347,Documentary
349,Crime
349,Drama
349,Thriller
350,Thriller
351,Drama
352,Drama
353,Thriller
354,Documentary
354,Short
355,Documentary
357,Short
359,Comedy
359,Drama
359,Family
359,Musical
359,Romance
360,Drama
360,Romance
361,Comedy
361,Crime
361,Drama
361,Thriller
362,Comedy
362,Drama
365,Short
366,Comedy
367,Documentary
368,Short
369,Comedy
369,Crime
370,Comedy
370,Western
372,Documentary
374,Drama
374,Fantasy
374,Music
375,Crime
375,Western
377,Drama
377,Thriller
378,Short
379,Comedy
380,Western
382,Action
382,Comedy
385,Western
388,Western
390,Western
394,Western
396,Drama
398,Short
400,Drama
404,Drama
405,Drama
405,Romance
406,Documentary
407,Family
408,Romance
409,Short
410,Crime
410,Drama
411,Documentary
412,Drama
413,Animation
413,Comedy
413,Short
414,Comedy
417,Short
418,Drama
419,Comedy
423,Documentary
425,Drama
427,Short
428,Comedy
428,Drama
429,Drama
429,Romance
430,Action
431,Drama
431,Mystery
437,Drama
438,Short
440,Drama
442,Short
444,Comedy
445,Drama
445,Romance
446,Drama
446,War
447,Documentary
448,Comedy
449,Comedy
450,Action
450,Drama
451,Drama
451,Short
452,Comedy
452,Short
454,Documentary
455,Comedy
455,Romance
456,Drama
456,Romance
457,Documentary
464,Drama
465,Action
465,Adventure
465,Comedy
469,Documentary
470,Drama
472,Crime
475,Drama
476,Comedy
476,Musical
478,Comedy
480,Drama
481,Comedy
484,Short
485,Documentary
485,Short
486,Drama
486,Music
486,Romance
487,Comedy
488,Short
489,Documentary
491,Drama
495,Drama
495,Family
496,Drama
496,Family
498,Documentary
498,Short
499,Horror
499,Short
500,Short
501,Short
506,Action
507,Comedy
508,Short
509,Thriller
510,Action
510,Adventure
510,Animation
510,Sci-Fi
511,Animation
511,Drama
511,Mystery
511,Short
512,Animation
512,Drama
512,Mystery
512,Short
513,Animation
513,Drama
513,Mystery
513,Short
514,Animation
514,Drama
514,Mystery
514,Short
515,Action
515,Adventure
515,Animation
515,Fantasy
516,Action
516,Adventure
516,Animation
516,Sci-Fi
517,Action
517,Adventure
517,Animation
517,Sci-Fi
518,Comedy
519,Action
519,Crime
520,Short
523,Short
524,Comedy
526,Short
527,Action
527,Comedy
528,Comedy
529,Comedy
529,Musical
530,Action
530,Adventure
530,Animation
531,Action
531,Adventure
531,Animation
532,Comedy
532,Short
533,Comedy
534,Animation
534,Musical
535,Adult
537,Comedy
537,Short
538,Short
539,Drama
540,Action
540,Fantasy
541,Documentary
542,Documentary
543,Drama
543,Short
544,Drama
544,Romance
545,Drama
546,Comedy
546,Musical
548,Drama
548,War
549,Drama
549,War
550,Drama
550,War
551,Crime
551,Drama
552,Mystery
552,Thriller
553,Documentary
555,Comedy
556,Comedy
557,Drama
558,Drama
559,Short
562,Comedy
562,Short
563,Documentary
564,Drama
565,Mystery
565,Short
566,Short
567,Documentary
568,Documentary
569,Documentary
571,Drama
576,Short
578,Short
579,Animation
579,Family
579,Short
580,Comedy
584,Documentary
584,Short
585,Comedy
585,Documentary
586,Short
587,Short
588,Crime
588,Drama
589,Comedy
589,Family
589,Mystery
589,Short
591,Drama
591,Musical
594,Thriller
595,Action
595,Thriller
597,Sci-Fi
598,Drama
598,Short
599,Documentary
599,Short
600,Documentary
600,Short
601,Short
602,Short
603,Documentary
603,Music
605,Short
606,Comedy
606,Romance
607,Animation
607,Short
609,Short
610,Drama
611,Documentary
611,Short
612,Drama
612,Short
613,Documentary
614,Documentary
616,Documentary
617,Drama
618,Comedy
619,Documentary
620,Short
621,Adult
626,Documentary
626,Short
627,Thriller
628,Short
629,Documentary
629,Short
630,Comedy
630,Family
630,Romance
630,Short
631,Short
632,Drama
632,Short
633,Documentary
633,Short
634,Documentary
635,Short
637,Short
639,Crime
639,Drama
639,Thriller
641,Short
641,Thriller
642,Documentary
643,Documentary
644,Comedy
644,Romance
645,Action
645,Thriller
646,Action
646,Drama
647,Documentary
647,Short
648,Documentary
650,Documentary
651,Documentary
651,Music
653,Drama
656,Drama
657,Documentary
658,Comedy
658,Short
660,Documentary
660,Short
663,Documentary
665,Comedy
665,Drama
665,Short
666,Action
666,Animation
669,Mystery
670,Short
671,Short
672,Comedy
673,Action
674,Documentary
674,Short
675,Horror
675,Romance
675,Thriller
676,Drama
680,Documentary
681,Comedy
682,Comedy
684,Comedy
686,Documentary
686,Family
687,Documentary
687,Music
693,Documentary
693,Music
694,Documentary
694,Music
696,Documentary
697,Animation
697,Short
698,Comedy
698,Short
699,Documentary
700,Crime
700,Drama
701,Action
702,Action
703,Documentary
704,Comedy
705,Short
706,Drama
706,Short
707,Comedy
708,Documentary
709,Drama
710,Documentary
711,Animation
711,Comedy
711,Family
711,Short
712,Documentary
713,Comedy
714,Drama
715,Western
716,Documentary
716,Music
717,Musical
718,Drama
718,Short
719,Comedy
720,Documentary
723,Comedy
724,Documentary
724,Horror
725,Documentary
725,Horror
726,Documentary
726,Fantasy
726,Horror
726,Sci-Fi
727,Documentary
727,Horror
728,Documentary
728,Horror
728,Sci-Fi
729,Documentary
729,Horror
729,Sci-Fi
730,Documentary
730,Horror
731,Documentary
731,Horror
732,Documentary
732,Horror
732,Sci-Fi
733,Documentary
733,Horror
734,Documentary
734,Horror
734,Sci-Fi
735,Documentary
735,Horror
735,Sci-Fi
736,Documentary
736,Horror
736,Sci-Fi
737,Documentary
737,Fantasy
737,Horror
739,Documentary
740,Documentary
742,Documentary
743,Adult
745,Adult
746,Adult
749,Comedy
750,Drama
754,Adult
755,Adult
759,Adult
760,Adult
763,Adult
764,Adult
765,Adult
766,Adult
767,Adult
768,Adult
770,Adult
780,Comedy
780,Short
781,Adult
783,Documentary
783,Music
784,Adult
785,Adult
786,Adult
789,Short
790,Adult
795,Documentary
795,Music
796,Adult
797,Action
798,Comedy
798,Short
801,Comedy
804,Drama
804,Short
807,Drama
807,Musical
808,Drama
809,Drama
810,Short
811,Short
812,Short
813,Romance
814,Short
817,Comedy
818,Animation
818,Short
820,Drama
821,Documentary
822,Drama
823,Comedy
825,Comedy
826,Drama
827,Family
829,Short
831,Animation
831,Fantasy
834,Documentary
834,Short
835,Documentary
837,Short
838,Comedy
840,Short
841,Documentary
842,Comedy
842,Romance
843,Music
845,Documentary
845,Music
846,Documentary
847,Adventure
847,Comedy
847,Family
849,Animation
849,Comedy
849,Family
850,Short
852,Adventure
852,Animation
852,Thriller
866,Documentary
868,Documentary
869,Documentary
870,Comedy
872,Adult
874,Comedy
875,Drama
876,Comedy
876,Romance
877,Documentary
878,Short
879,Drama
879,Fantasy
880,Comedy
880,Family
881,Action
881,Adventure
881,Comedy
881,Family
883,Documentary
883,Short
885,Documentary
885,Short
886,Thriller
888,Documentary
888,Short
889,Comedy
889,Musical
892,Action
892,Comedy
893,Short
895,Crime
895,Drama
895,Short
896,Drama
897,Short
898,Documentary
899,Crime
899,Drama
901,Documentary
901,Short
902,Documentary
903,Short
905,Short
906,Adult
907,Comedy
908,Short
909,Documentary
910,Comedy
910,Crime
911,Comedy
911,Short
912,Documentary
912,Short
913,Romance
913,Sci-Fi
914,Documentary
916,Comedy
917,Documentary
918,Animation
918,Short
919,Short
921,Drama
922,Short
923,Documentary
923,Music
924,Documentary
926,Documentary
936,Drama
936,Romance
936,Thriller
937,Crime
937,Drama
940,Documentary
941,Family
941,Short
943,Documentary
945,Short
946,Documentary
946,Short
947,Documentary
947,Short
948,Documentary
949,Drama
950,Documentary
952,Short
953,Thriller
954,Crime
954,Drama
955,Comedy
955,Crime
955,Drama
955,Thriller
957,Short
958,Music
961,Drama
961,Short
962,Animation
963,Crime
963,Drama
963,Thriller
964,Action
965,Comedy
966,Drama
968,Drama
969,Crime
969,Drama
970,Drama
971,Drama
972,Short
973,Drama
975,Documentary
977,Family
978,Drama
979,Comedy
979,Drama
981,Comedy
981,Short
982,Documentary
983,Animation
983,Family
984,Drama
986,Drama
987,Drama
987,Mystery
987,Thriller
989,Short
990,Musical
992,Drama
992,Short
993,Comedy
993,Short
994,Drama
994,Short
995,Comedy
996,Animation
996,Comedy
999,Documentary
999,Short
1000,Crime
1000,Mystery
1000,Thriller
